agate|1.81 * 10**-3|An agate or ruby (UK) is a unit of typographical measure.
nautical mile|1852|A nautical mile is a unit of measurement used in both air and marine navigation, and for the definition of territorial waters.
pace (normal step)|7.5 * 10**-1|A pace is a unit of length consisting either of one normal walking step or of a double step.
pace (double step)|1.5|A pace is a unit of length consisting either of one normal walking step or of a double step.
paris inch|2.7069 * 10**-2|The Paris inch or pouce is an archaic unit of length that, among other uses, was common for giving the measurement of lenses.
paris point|6.6 * 10**-3|The Paris point is a unit of length defined as ⅔ of a centimetre (6.
parsec|3.0857 * 10**16|The parsec is a unit of length used to measure large distances to astronomical objects outside the Solar System.
pes|2.96 * 10**-1|A pes is an ancient Roman unit of length that roughly corresponds to a foot.
pica|4.2333 * 10**-3|The pica is a typographic unit of measure corresponding to approximately 1⁄6 of an inch, or from 1⁄68 to 1⁄73 of a foot.
picometre|10**-12|The picometre or picometer (American spelling) is a unit of length in the metric system, equal to 1×10−12 m, or one trillionth (1/1000000000000) of a metre, which is the SI base unit of length.
planck length|1.6162 * 10**-35|In physics, the Planck length, denoted ℓP, is a unit of length that is the distance light travels in one unit of Planck time.
pluto radius|1186000|Pluto radius is the unit of distance equal to the radius of Pluto.
point|3.528 * 10**-4|In typography, the point is the smallest unit of measure.
psilon|40.2336|A Psilon is a unit of length that is equal to 44 manly strides or, more precisely, 0.
rack unit|4.445 * 10**-2|A rack unit is a unit of measure defined as 1 3⁄4 inches (44.
rod|5.0292|The rod or perch or pole is a surveyor’s tool and unit of length exactly equal to 5 1⁄2 yards, 16 1⁄2 feet, 1⁄320 of a statute mile or one-fourth of a surveyor's chain (approximately 5.
rood|6.15|A rood is a historic English and international inch-pound measure of area, as well as an archaic English measure of length.
scandinavian mile|10000|A Scandinavian mile is a unit of length common in Norway and Sweden, but not Denmark.
shaftment|1.524 * 10**-1|The shaftment is a unit of length, 6 - 6½ inches or 2 palms, i.
shaku|3.030 * 10**-1|The shaku or Japanese foot is a Japanese unit of length derived (but varying) from the Chinese chi, originally based upon the distance measured by a human hand from the tip of the thumb to the tip of the forefinger (compare span).
siriometer|1.4957 * 10**17|The siriometer is an obsolete astronomical unit of length, defined to be equal to one million astronomical units (au).
skein|109.728|Skein is a unit of length which has been used in the UK.
smoot|1.702|The smoot is a nonstandard, humorous unit of length created as part of an MIT fraternity prank.
solar radius|6.957 * 10**8|Solar radius is a unit of distance used to express the size of stars in astronomy relative to the Sun.
spat|10**12|The spat, from the Latin spatium ("space"), is a unit of solid angle.
thneap|2.08333 * 10**-2|The Thneap is a unit of length, used during 18th – 20th century in Cambodia.
thousandth of an inch|2.54 * 10**-5|A thousandth of an inch is a derived unit of length in a system of units using inches.
tlalcuahuitl (1)|2.5|Tlalcuahuitl or land rod also known as a cuahuitl was an Aztec unit of measuring distance.
tlalcuahuitl (2)|2.1|Tlalcuahuitl or land rod also known as a cuahuitl was an Aztec unit of measuring distance.
tlalcuahuitl (3)|2.3|Tlalcuahuitl or land rod also known as a cuahuitl was an Aztec unit of measuring distance.
twip|1.7636 * 10**-5|A twip is a typographical measurement, defined as 1/20 of a typographical point.
uncia|2.46 * 10**-2|The uncia was a Roman unit of length, weight, and volume.
unglie|1.905 * 10**-2|A unglie ("finger") is an obsolete unit of length equal to three-fourths of an inch.
verst|1066.8|A verst is an obsolete Russian unit of length defined as 500 sazhen.
wa|2|Is a unit of length, equal to two metres (2 m) or four sok.
x unit|1.0021 * 10**-13|The x unit is a unit of length approximately equal to 0.
yard|9.144 * 10**-1|The yard is an English unit of length, in both the British imperial and US customary systems of measurement, that comprises 3 feet or 36 inches.
yojana|12295.3882|A yojana is a Vedic measure of distance that was used in ancient India.
