abucco|1.9644 * 10**-1|In Pegu, Burma, the abucco was a unit of mass used for gold and silver.
microgram|10**-6|In the metric system, a microgram or microgramme is a unit of mass equal to one millionth of a gram.
micropound|4.536 * 10**-7|The micropound is a small unit of avoirdupois weight and mass in the US and imperial systems of measurement, equal to one-millionth (1/1,000,000) pound.
mina|5.7 * 10**-1|Is an ancient Near Eastern unit of weight, which was divided into 50 shekels.
mithqal|4.25 * 10**-3|Is a unit of mass equal to 4.25 grams which is mostly used for measuring precious metals, such as gold, and other commodities, like saffron.
munjandie|2.59 * 10**-1|A munjandie is an obsolete unit of mass in India approximately equal to 4 grains.
myriagram|10|The myriagram is a former French and metric unit of mass equal to 10,000 grams (myriad being the Greek word for ten thousand).
nail|3.175|An archaic usage of the term nail is as a sixteenth of a (long) hundredweight for mass, or 1 clove of 7 pound avoirdupois (3.175 kg).
oka|1.2829|The oka, okka, or oke was an Ottoman measure of mass, equal to 400 dirhems (Ottoman drams).
ounce|2.8349 * 10**-2|The ounce is a unit of mass, weight, or volume used in most British derived customary systems of measurement.
passeree|4.677|A passeree is an obsolete unit of mass used in Bengal.
pennyweight|1.5551 * 10**-3|A pennyweight is a unit of mass that is equal to 24 grains, 1⁄20 of a troy ounce, 1⁄240 of a troy pound.
planck mass|2 * 10**-8|In physics, the Planck mass, denoted by mP, is the unit of mass in the system of natural units known as Planck units.
pluto mass|1.305 * 10**22|Pluto mass is the unit of mass equal to that of Pluto.
pood (1899)|16.38|Is a unit of mass equal to 40 funt (фунт, Russian pound). 
pound|4.5359 * 10**-1|The pound or pound-mass is a unit of mass used in the imperial, United States customary and other systems of measurement.
quintal|100|The quintal or centner is a historical unit of mass in many countries which is usually defined as 100 base units of either pounds or kilograms.
ratti|1.215 * 10**-1|A ratti is a traditional Indian unit of measurement for mass.
sarpler|1020|Sarpler, Sarplier or Serplathe was a UK weight for wool.
scrupulum|1.1812 * 10**-3|Scrupulum, meaning a tiny stone, indicates a weight of 1/24 of an ounce or, by extension, of other measures.
ship load|430803.889|Ship load is a United Kingdom unit of weight for coal equal to 949,760 pounds.
short ton|907.18474|The short ton is a unit of mass equal to 2,000 pounds-mass.
slug|14.5939|The slug is a derived unit of mass in the weight-based system of measures, most notably within the British Imperial measurement system and in the United States customary measures system.
solar mass|1.98847 * 10**30|The solar mass is a standard unit of mass in astronomy.
stick|1.13 * 10**-1|In American cooking, a stick of butter is taken to be 4 ounces (about 113 g).
stone|6.35029|Is an English and imperial unit of weight.
tank|4.4 * 10**-3|A tank is an obsolete unit of mass in India.
thai baht|1.5244 * 10**-2|The Baht is the official currency of Thailand (and also a unit of mass).
tola|1.1663 * 10**-2|Is a traditional Ancient Indian and South Asian unit of mass.
tonne|1000|The tonne; non-SI unit, symbol: t), commonly referred to as the metric ton in the United States and Canada, is a non-SI metric unit of mass equal to 1,000 kilograms or one megagram (symbol: Mg).
truss (new hay)|27.21554|A truss is a tight bundle of hay or straw.
truss (old hay)|25.40117|A truss is a tight bundle of hay or straw.
truss (straw)|16.32932|A truss is a tight bundle of hay or straw.
tub|38|Tub was a unit of capacity or of weight used in Britain and elsewhere.
wey (13th century)|76.5|Was an English unit of weight and dry volume by at least ad 900, when it begins to be mentioned in surviving legal codes.
wey (wool)|101.7|Was an English unit of weight and dry volume by at least ad 900, when it begins to be mentioned in surviving legal codes.
wey (Suffolk)|161.5|Was an English unit of weight and dry volume by at least ad 900, when it begins to be mentioned in surviving legal codes.
wiardunek|4.9 * 10**-2|The Wiardunek was a Mediaeval Central European unit of mass most widely used in Poland and Germany.
zentner|50|The zentner is an obsolete name for a unit of mass which was used predominantly in Germany, Austria, and Switzerland, although it was also sometimes used in the United Kingdom.
zolotnik|4.2658 * 10**-3|Was a small Russian unit of weight.
